"date","yearweek"
2009-01-01,"200853"
2009-01-02,"200853"
2009-01-03,"200853"
2009-01-04,"200901"
2009-01-05,"200901"
2009-01-06,"200901"
2009-01-07,"200901"
2009-01-08,"200901"
2009-01-09,"200901"
2009-01-10,"200901"
2009-01-11,"200902"
2009-01-12,"200902"
2009-01-13,"200902"
2009-01-14,"200902"
2009-01-15,"200902"
2009-01-16,"200902"
2009-01-17,"200902"
2009-01-18,"200903"
2009-01-19,"200903"
2009-01-20,"200903"
2009-01-21,"200903"
2009-01-22,"200903"
2009-01-23,"200903"
2009-01-24,"200903"
2009-01-25,"200904"
2009-01-26,"200904"
2009-01-27,"200904"
2009-01-28,"200904"
2009-01-29,"200904"
2009-01-30,"200904"
2009-01-31,"200904"
2009-02-01,"200905"
2009-02-02,"200905"
2009-02-03,"200905"
2009-02-04,"200905"
2009-02-05,"200905"
2009-02-06,"200905"
2009-02-07,"200905"
2009-02-08,"200906"
2009-02-09,"200906"
2009-02-10,"200906"
2009-02-11,"200906"
2009-02-12,"200906"
2009-02-13,"200906"
2009-02-14,"200906"
2009-02-15,"200907"
2009-02-16,"200907"
2009-02-17,"200907"
2009-02-18,"200907"
2009-02-19,"200907"
2009-02-20,"200907"
2009-02-21,"200907"
2009-02-22,"200908"
2009-02-23,"200908"
2009-02-24,"200908"
2009-02-25,"200908"
2009-02-26,"200908"
2009-02-27,"200908"
2009-02-28,"200908"
2009-03-01,"200909"
2009-03-02,"200909"
2009-03-03,"200909"
2009-03-04,"200909"
2009-03-05,"200909"
2009-03-06,"200909"
2009-03-07,"200909"
2009-03-08,"200910"
2009-03-09,"200910"
2009-03-10,"200910"
2009-03-11,"200910"
2009-03-12,"200910"
2009-03-13,"200910"
2009-03-14,"200910"
2009-03-15,"200911"
2009-03-16,"200911"
2009-03-17,"200911"
2009-03-18,"200911"
2009-03-19,"200911"
2009-03-20,"200911"
2009-03-21,"200911"
2009-03-22,"200912"
2009-03-23,"200912"
2009-03-24,"200912"
2009-03-25,"200912"
2009-03-26,"200912"
2009-03-27,"200912"
2009-03-28,"200912"
2009-03-29,"200913"
2009-03-30,"200913"
2009-03-31,"200913"
2009-04-01,"200913"
2009-04-02,"200913"
2009-04-03,"200913"
2009-04-04,"200913"
2009-04-05,"200914"
2009-04-06,"200914"
2009-04-07,"200914"
2009-04-08,"200914"
2009-04-09,"200914"
2009-04-10,"200914"
2009-04-11,"200914"
2009-04-12,"200915"
2009-04-13,"200915"
2009-04-14,"200915"
2009-04-15,"200915"
2009-04-16,"200915"
2009-04-17,"200915"
2009-04-18,"200915"
2009-04-19,"200916"
2009-04-20,"200916"
2009-04-21,"200916"
2009-04-22,"200916"
2009-04-23,"200916"
2009-04-24,"200916"
2009-04-25,"200916"
2009-04-26,"200917"
2009-04-27,"200917"
2009-04-28,"200917"
2009-04-29,"200917"
2009-04-30,"200917"
2009-05-01,"200917"
2009-05-02,"200917"
2009-05-03,"200918"
2009-05-04,"200918"
2009-05-05,"200918"
2009-05-06,"200918"
2009-05-07,"200918"
2009-05-08,"200918"
2009-05-09,"200918"
2009-05-10,"200919"
2009-05-11,"200919"
2009-05-12,"200919"
2009-05-13,"200919"
2009-05-14,"200919"
2009-05-15,"200919"
2009-05-16,"200919"
2009-05-17,"200920"
2009-05-18,"200920"
2009-05-19,"200920"
2009-05-20,"200920"
2009-05-21,"200920"
2009-05-22,"200920"
2009-05-23,"200920"
2009-05-24,"200921"
2009-05-25,"200921"
2009-05-26,"200921"
2009-05-27,"200921"
2009-05-28,"200921"
2009-05-29,"200921"
2009-05-30,"200921"
2009-05-31,"200922"
2009-06-01,"200922"
2009-06-02,"200922"
2009-06-03,"200922"
2009-06-04,"200922"
2009-06-05,"200922"
2009-06-06,"200922"
2009-06-07,"200923"
2009-06-08,"200923"
2009-06-09,"200923"
2009-06-10,"200923"
2009-06-11,"200923"
2009-06-12,"200923"
2009-06-13,"200923"
2009-06-14,"200924"
2009-06-15,"200924"
2009-06-16,"200924"
2009-06-17,"200924"
2009-06-18,"200924"
2009-06-19,"200924"
2009-06-20,"200924"
2009-06-21,"200925"
2009-06-22,"200925"
2009-06-23,"200925"
2009-06-24,"200925"
2009-06-25,"200925"
2009-06-26,"200925"
2009-06-27,"200925"
2009-06-28,"200926"
2009-06-29,"200926"
2009-06-30,"200926"
2009-07-01,"200926"
2009-07-02,"200926"
2009-07-03,"200926"
2009-07-04,"200926"
2009-07-05,"200927"
2009-07-06,"200927"
2009-07-07,"200927"
2009-07-08,"200927"
2009-07-09,"200927"
2009-07-10,"200927"
2009-07-11,"200927"
2009-07-12,"200928"
2009-07-13,"200928"
2009-07-14,"200928"
2009-07-15,"200928"
2009-07-16,"200928"
2009-07-17,"200928"
2009-07-18,"200928"
2009-07-19,"200929"
2009-07-20,"200929"
2009-07-21,"200929"
2009-07-22,"200929"
2009-07-23,"200929"
2009-07-24,"200929"
2009-07-25,"200929"
2009-07-26,"200930"
2009-07-27,"200930"
2009-07-28,"200930"
2009-07-29,"200930"
2009-07-30,"200930"
2009-07-31,"200930"
2009-08-01,"200930"
2009-08-02,"200931"
2009-08-03,"200931"
2009-08-04,"200931"
2009-08-05,"200931"
2009-08-06,"200931"
2009-08-07,"200931"
2009-08-08,"200931"
2009-08-09,"200932"
2009-08-10,"200932"
2009-08-11,"200932"
2009-08-12,"200932"
2009-08-13,"200932"
2009-08-14,"200932"
2009-08-15,"200932"
2009-08-16,"200933"
2009-08-17,"200933"
2009-08-18,"200933"
2009-08-19,"200933"
2009-08-20,"200933"
2009-08-21,"200933"
2009-08-22,"200933"
2009-08-23,"200934"
2009-08-24,"200934"
2009-08-25,"200934"
2009-08-26,"200934"
2009-08-27,"200934"
2009-08-28,"200934"
2009-08-29,"200934"
2009-08-30,"200935"
2009-08-31,"200935"
2009-09-01,"200935"
2009-09-02,"200935"
2009-09-03,"200935"
2009-09-04,"200935"
2009-09-05,"200935"
2009-09-06,"200936"
2009-09-07,"200936"
2009-09-08,"200936"
2009-09-09,"200936"
2009-09-10,"200936"
2009-09-11,"200936"
2009-09-12,"200936"
2009-09-13,"200937"
2009-09-14,"200937"
2009-09-15,"200937"
2009-09-16,"200937"
2009-09-17,"200937"
2009-09-18,"200937"
2009-09-19,"200937"
2009-09-20,"200938"
2009-09-21,"200938"
2009-09-22,"200938"
2009-09-23,"200938"
2009-09-24,"200938"
2009-09-25,"200938"
2009-09-26,"200938"
2009-09-27,"200939"
2009-09-28,"200939"
2009-09-29,"200939"
2009-09-30,"200939"
2009-10-01,"200939"
2009-10-02,"200939"
2009-10-03,"200939"
2009-10-04,"200940"
2009-10-05,"200940"
2009-10-06,"200940"
2009-10-07,"200940"
2009-10-08,"200940"
2009-10-09,"200940"
2009-10-10,"200940"
2009-10-11,"200941"
2009-10-12,"200941"
2009-10-13,"200941"
2009-10-14,"200941"
2009-10-15,"200941"
2009-10-16,"200941"
2009-10-17,"200941"
2009-10-18,"200942"
2009-10-19,"200942"
2009-10-20,"200942"
2009-10-21,"200942"
2009-10-22,"200942"
2009-10-23,"200942"
2009-10-24,"200942"
2009-10-25,"200943"
2009-10-26,"200943"
2009-10-27,"200943"
